time_sec;time_min;FHR_bpm
475.0;7.917;150.0
476.0;7.933;150.3
477.0;7.95;150.6
478.0;7.967;150.8
479.0;7.983;150.8
480.0;8.0;150.6
481.0;8.017;150.3
482.0;8.033;150.2
483.0;8.05;150.1
484.0;8.067;149.8
485.0;8.083;149.4
486.0;8.1;148.9
487.0;8.117;148.5
488.0;8.133;148.2
489.0;8.15;148.1
490.0;8.167;148.1
491.0;8.183;148.3
492.0;8.2;148.6
493.0;8.217;148.9
494.0;8.233;149.4
495.0;8.25;149.8
496.0;8.267;150.3
497.0;8.283;150.7
498.0;8.3;151.1
499.0;8.317;151.4
500.0;8.333;151.8
501.0;8.35;151.9
502.0;8.367;151.7
503.0;8.383;151.5
504.0;8.4;151.1
505.0;8.417;150.8
506.0;8.433;150.7
507.0;8.45;150.5
508.0;8.467;150.3
509.0;8.483;150.1
510.0;8.5;149.9
511.0;8.517;149.8
512.0;8.533;150.0
513.0;8.55;150.3
514.0;8.567;150.6
515.0;8.583;150.8
516.0;8.6;150.8
517.0;8.617;150.9
518.0;8.633;150.9
519.0;8.65;150.7
520.0;8.667;150.4
521.0;8.683;150.3
522.0;8.7;150.2
523.0;8.717;150.1
524.0;8.733;150.0
525.0;8.75;150.0
526.0;8.767;150.0
527.0;8.783;149.8
528.0;8.8;149.7
529.0;8.817;149.9
530.0;8.833;150.1
531.0;8.85;150.3
532.0;8.867;150.4
533.0;8.883;150.3
534.0;8.9;150.0
535.0;8.917;149.9
536.0;8.933;149.8
537.0;8.95;149.9
538.0;8.967;150.0
539.0;8.983;150.0
540.0;9.0;150.1
541.0;9.017;149.9
542.0;9.033;149.9
543.0;9.05;150.0
544.0;9.067;150.3
545.0;9.083;150.6
546.0;9.1;150.8
547.0;9.117;150.9
548.0;9.133;150.7
549.0;9.15;150.4
550.0;9.167;149.9
551.0;9.183;149.4
552.0;9.2;148.8
553.0;9.217;148.2
554.0;9.233;147.7
555.0;9.25;147.3
556.0;9.267;147.0
557.0;9.283;146.9
558.0;9.3;147.1
559.0;9.317;147.4
560.0;9.333;147.9
561.0;9.35;148.4
562.0;9.367;149.0
563.0;9.383;149.6
564.0;9.4;150.1
565.0;9.417;150.4
566.0;9.433;150.5
567.0;9.45;150.5
568.0;9.467;150.6
569.0;9.483;150.7
570.0;9.5;150.8
571.0;9.517;150.9
572.0;9.533;151.0
573.0;9.55;151.0
574.0;9.567;151.1
575.0;9.583;151.2
576.0;9.6;151.3
577.0;9.617;151.3
578.0;9.633;151.2
579.0;9.65;151.0
580.0;9.667;150.8
581.0;9.683;150.5
582.0;9.7;150.1
