time_sec;time_min;Toco_value
666.0;11.1;69.1
667.0;11.117;72.0
668.0;11.133;75.1
669.0;11.15;77.9
670.0;11.167;79.7
671.0;11.183;80.9
672.0;11.2;81.3
673.0;11.217;82.9
674.0;11.233;84.3
675.0;11.25;85.3
676.0;11.267;85.9
677.0;11.283;86.0
678.0;11.3;84.7
679.0;11.317;83.1
680.0;11.333;78.8
681.0;11.35;74.7
682.0;11.367;70.5
683.0;11.383;66.3
684.0;11.4;64.0
685.0;11.417;59.5
686.0;11.433;54.1
687.0;11.45;48.8
688.0;11.467;45.2
689.0;11.483;42.8
690.0;11.5;42.9
691.0;11.517;42.9
692.0;11.533;42.4
693.0;11.55;38.4
694.0;11.567;33.7
695.0;11.583;33.5
696.0;11.6;33.3
697.0;11.617;33.4
698.0;11.633;33.4
699.0;11.65;33.3
700.0;11.667;33.2
701.0;11.683;33.3
702.0;11.7;35.9
703.0;11.717;37.3
704.0;11.733;38.0
705.0;11.75;37.8
706.0;11.767;37.6
707.0;11.783;37.4
708.0;11.8;38.9
709.0;11.817;38.1
710.0;11.833;40.5
711.0;11.85;41.8
712.0;11.867;41.8
713.0;11.883;41.8
714.0;11.9;42.0
715.0;11.917;44.9
716.0;11.933;47.1
717.0;11.95;46.4
718.0;11.967;47.1
719.0;11.983;49.0
720.0;12.0;49.1
721.0;12.017;47.5
722.0;12.033;47.1
723.0;12.05;47.3
724.0;12.067;48.8
725.0;12.083;47.4
726.0;12.1;47.6
727.0;12.117;50.1
728.0;12.133;47.4
729.0;12.15;44.7
730.0;12.167;44.3
731.0;12.183;47.2
732.0;12.2;50.4
733.0;12.217;52.1
734.0;12.233;52.6
735.0;12.25;55.1
736.0;12.267;51.8
737.0;12.283;49.9
738.0;12.3;50.9
739.0;12.317;50.4
740.0;12.333;48.3
741.0;12.35;45.6
742.0;12.367;42.8
743.0;12.383;40.3
744.0;12.4;39.9
745.0;12.417;38.4
746.0;12.433;39.3
747.0;12.45;41.4
748.0;12.467;45.2
749.0;12.483;48.6
750.0;12.5;51.6
751.0;12.517;54.1
752.0;12.533;56.6
753.0;12.55;56.1
754.0;12.567;53.3
755.0;12.583;52.8
756.0;12.6;52.8
757.0;12.617;49.3
758.0;12.633;45.5
759.0;12.65;42.1
760.0;12.667;40.4
761.0;12.683;40.6
762.0;12.7;40.7
763.0;12.717;41.6
764.0;12.733;42.7
765.0;12.75;42.7
766.0;12.767;42.7
767.0;12.783;42.8
768.0;12.8;44.5
769.0;12.817;44.6
770.0;12.833;44.6
771.0;12.85;44.9
772.0;12.867;45.9
773.0;12.883;48.8
774.0;12.9;51.6
775.0;12.917;54.3
776.0;12.933;55.4
777.0;12.95;55.8
778.0;12.967;52.2
779.0;12.983;52.8
780.0;13.0;49.5
781.0;13.017;45.2
782.0;13.033;43.1
783.0;13.05;43.0
784.0;13.067;43.0
785.0;13.083;43.2
786.0;13.1;43.0
787.0;13.117;43.3
788.0;13.133;44.1
789.0;13.15;44.2
790.0;13.167;45.1
791.0;13.183;46.4
792.0;13.2;46.4
793.0;13.217;45.9
794.0;13.233;42.8
795.0;13.25;39.9
796.0;13.267;40.5
